Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)	Dimensions
36	Technic / Supplemental	5206-1	Speed Computer	2000	7	9.4 x 14.2 x 5.9
9	Castle / Classic Castle	6083-1	Knight's Tournament	1981	15	31.12 x 18.73 x 4.76
423	Classic / Building	326-1	Small Cottage	1965	3.3	? x ? x ?
388	Building Set with People / Recreation	194-1	Family	1976	5	20 x 10 x 5
422	Universal Building Set / Supplemental	781-1	Storage Case	1980	?	? x ? x ?
423	Classic / Building	340-3	Railroad Control Tower	1968	5	? x ? x ?
167	Duplo / Duplo, Train	2730-1	Electric Play Train Set	1993	?	? x ? x ?
388	Building Set with People / Farm	197-1	Farm Vehicle and Animals	1976	4.9	24 x 12 x 5
388	Building Set with People / Airport	1561-2	Lufthansa Flight Crew	1976	?	? x ? x ?
395	Samsonite / Basic Set	630-2	Diplomat Set	1971	?	49.8 x 20.3 x 10.2
166	Educational & Dacta / Supplemental	9262-1	Extra Basic Bricks	1991	?	? x ? x ?
166	Educational & Dacta / Town	9353-1	Large Theme Set	1991	?	? x ? x ?
167	Duplo / Little Forest Friends	2830-1	The Strawberries	1999	?	? x ? x ?
167	Duplo / Little Forest Friends	2831-1	The Toadstools	1999	?	? x ? x ?
167	Duplo / Little Forest Friends	2832-1	The Bluebells	1999	?	? x ? x ?
78	Freestyle	3027-1	25th Anniversary Silver Bucket	1998	?	21.5 x 22 x 26.5
167	Duplo / Toolo	2920-1	Digger	1992	15	? x ? x ?
167	Duplo / Toolo	2930-1	Mobile Crane (Crane Truck)	1992	15	? x ? x ?
167	Duplo / Duplo, Train	2932-1	Train Starter Set with Motor	2000	?	? x ? x ?
167	Duplo / Zooters	3263-1	Goozle	2001	?	? x ? x ?
167	Duplo / Zooters	3264-1	Tez	2001	7.64	20.5 x 28 x 12.5
167	Duplo / Zooters	3265-1	Wazo	2001	10	? x ? x ?
388	Building Set with People / Gas Station	217-1	Service Station	1977	10	? x ? x ?
395	Samsonite / Model Maker / Traffic	348-2	Mini-Wheel Car and Truck Set	1970	?	? x ? x ?
423	Classic / Building	342-1	Station	1968	5	? x ? x ?
167	Duplo / Bob The Builder	3273-1	Bob, Lofty and the Mice	2001	?	? x ? x ?
167	Duplo / Bob The Builder	3274-1	Bob and Muck Repair the Barn	2001	?	33.5 x 28.5 x 7
167	Duplo / Bob The Builder	3275-1	Bob's Big Building Box	2001	?	? x ? x ?
167	Duplo / Bob The Builder	3276-1	Muck and Scoop	2001	?	? x ? x ?
124	Train / 9V / My Own Train	3740-1	Small Locomotive	2001	40	? x ? x ?
124	Train / 9V / My Own Train	3741-1	Large Locomotive (base unit without color trim elements)	2001	40.44	19.1 x 19.1 x 4.76
124	Train / 9V / My Own Train	3742-1	Tender Basis (without color trim elements)	2001	10	19.1 x 14.3 x 4.7
170	Alpha Team / Mission Deep Sea	4793-1	Ogel Sub Shark	2002	35	28.5 x 19 x 4.5
277	Legoland / Vehicle / Traffic	696-1	Bus Stop	1976	3.4	20 x 6.6 x 4
