Type	Item No	Item Name	Qty	Color ID	Extra?	Alternate?	Match ID	Counterpart?

P	75192stk01	Sticker for Set 75192 - (34499/6195703)	1	0	N	N	0	N	
P	32013	Technic, Axle and Pin Connector Angled #1	6	1	N	N	0	N	
P	3024	Plate 1 x 1	2	1	N	N	0	N	
P	3070b	Tile 1 x 1 with Groove (3070)	1	1	N	N	0	N	
P	3005	Brick 1 x 1	1	1	N	N	0	N	
P	2432	Tile, Modified 1 x 2 with Handle	1	1	N	N	0	N	
P	60471	Hinge Plate 1 x 2 Locking with 2 Fingers on Side	1	1	N	N	0	N	
P	15573	Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)	1	1	N	N	0	N	
P	11211	Brick, Modified 1 x 2 with Studs on 1 Side	1	1	N	N	0	N	
P	3700	Technic, Brick 1 x 2 with Hole	4	1	N	N	0	N	
P	3040	Slope 45 2 x 1	1	1	N	N	0	N	
P	60470b	Plate, Modified 1 x 2 with Clips Horizontal (thick open O clips)	8	1	N	N	0	N	
P	15068	Slope, Curved 2 x 2 No Studs	2	1	N	N	0	N	
P	10247	Plate, Modified 2 x 2 with Pin Hole - Full Cross Support Underneath	22	1	N	N	0	N	
P	30541	Hinge Brick 1 x 2 Locking with 1 Finger Horizontal End	8	1	N	N	0	N	
P	63864	Tile 1 x 3	1	1	N	N	0	N	
P	3021	Plate 2 x 3	1	1	N	N	0	N	
P	3710	Plate 1 x 4	4	1	N	N	0	N	
P	11212	Plate 3 x 3	16	1	N	N	0	N	
P	2450	Wedge, Plate 3 x 3 Cut Corner	4	1	N	N	0	N	
P	32348	Technic, Liftarm 1 x 7 Bent (4 - 4) Thick	2	1	N	N	0	N	
P	3009	Brick 1 x 6	3	1	N	N	0	N	
P	30503	Wedge, Plate 4 x 4 Cut Corner	2	1	N	N	0	N	
P	4162	Tile 1 x 8	1	1	N	N	0	N	
P	4510	Plate, Modified 1 x 8 with Door Rail	1	1	N	N	0	N	
P	3034	Plate 2 x 8	2	1	N	N	0	N	
P	3738	Technic, Plate 2 x 8 with 7 Holes	4	1	N	N	0	N	
P	3035	Plate 4 x 8	1	1	N	N	0	N	
P	4073	Plate, Round 1 x 1 Straight Side	1	2	N	N	0	N	
P	32002	Technic, Pin 3/4	3	2	N	N	0	N	
P	49668	Plate, Modified 1 x 1 with Tooth Horizontal	2	2	N	N	0	N	
P	3749	Technic, Axle Pin without Friction Ridges Lengthwise	6	2	N	N	0	N	
P	85984	Slope 30 1 x 2 x 2/3	29	2	N	N	0	N	
P	2654	Plate, Round 2 x 2 with Rounded Bottom (Boat Stud)	12	2	N	N	0	N	
P	30136	Brick, Modified 1 x 2 Log	7	2	N	N	0	N	
P	32000	Technic, Brick 1 x 2 with Holes	5	2	N	N	0	N	
P	3069b	Tile 1 x 2 with Groove	19	2	N	N	0	N	
P	48336	Plate, Modified 1 x 2 with Handle on Side - Closed Ends	12	2	N	N	0	N	
P	4460b	Slope 75 2 x 1 x 3 - Hollow Stud	1	2	N	N	0	N	
