Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)	Dimensions
423	Classic / Supplemental	242.3-1	6 International Flags -3-	1963	10	? x ? x ?
423	Classic / Supplemental	242.1-1	6 International Flags -1-	1963	10	? x ? x ?
61	Pirates / Pirates I / Imperial Guards	6271-2	Imperial Flagship with Free Storage Case	1992	?	? x ? x ?
167	Duplo / Basic Set	1765-1	Small Bucket	1995	?	? x ? x ?
167	Duplo / Basic Set	2300-1	Small Bucket	1999	?	? x ? x ?
294	Primo	2009-1	Large Bulk Box	1997	?	? x ? x ?
167	Duplo / Basic Set	4908-1	Brick Box	2004	?	? x ? x ?
171	Creator / Basic Set	5519-1	Creator Bucket	2007	?	? x ? x ?
294	Primo	2006-1	Primo Box	1996	?	? x ? x ?
167	Duplo / Basic Set	2272-1	Medium Bucket	1998	?	? x ? x ?
167	Duplo / Basic Set	1595-1	Girl with Cat	1993	?	28.5 x 19 x 4.8
167	Duplo / Basic Set	5518-1	Creative Building	2007	?	? x ? x ?
167	Duplo / Basic Set	5490-1	XXL 250 Canister	2006	?	? x ? x ?
167	Duplo / Basic Set	4836-1	Medium Bucket	2001	?	? x ? x ?
227	Harry Potter / Order of the Phoenix	5378-1	Hogwarts Castle (3rd edition)	2007	322	57.5 x 37.8 x 6.8
167	Duplo / Basic Set	1623-1	Small Bucket	1988	?	? x ? x ?
423	Classic / Supplemental	494-2	Gates and Fence, White (The Building Toy)	1967	5.5	6.3 x 8.3 x 2.4
423	Classic / Basic Set	010-3	Basic Building Set	1968	?	20 x 10 x 5
166	Educational & Dacta / Duplo / Duplo, Town / Airport	9976-1	Duplo Airport	1989	?	? x ? x ?
167	Duplo / Basic Set	2359-1	Elephant Bucket	1994	?	? x ? x ?
710	Modular Buildings / Factory	10190-1	Market Street	2007	229	47.5 x 28.5 x 9.5
124	Train / Supplemental / 9V	K4548-1	9-volt Train Accessory Collection	2007	?	? x ? x ?
54	Aquazone / Aquaraiders II	K7776-1	Ultimate Aqua Raiders Collection	2007	?	? x ? x ?
59	Mindstorms / NXT	MS1040-1	Accelerometer Sensor for Mindstorms NXT	2007	?	8 x 3 x 5
67	Town / City / Airport	7894-2	Airport - ANA Version	2007	?	? x ? x ?
65	Star Wars / Star Wars Episode 1	7660-1	Naboo N-1 Starfighter and Vulture Droid	2007	178	38 x 28.5 x 5.8
65	Star Wars / Star Wars Episode 3	7661-1	Jedi Starfighter with Hyperdrive Booster Ring	2007	227	48 x 28.5 x 7
629	Architecture	518-9	2 x 4 Plates (architectural hobby und modelbau version)	1962	?	9 x 6.5 x 3.6
629	Architecture	519-9	2 x 3 Plates (architectural hobby und modelbau version)	1962	?	9 x 6.5 x 3.6
629	Architecture	520-3	2 x 2 Plates (architectural hobby und modelbau version)	1962	?	9 x 6.5 x 3.6
629	Architecture	521-9	1 x 1 and 1 x 2 Plates (architectural hobby und modelbau version)	1962	?	9 x 6.5 x 3.6
9	Castle / Fantasy Era	7029-1	Skeleton Ship Attack	2007	?	57.5 x 38 x 9
9	Castle / Fantasy Era	7094-1	King's Castle Siege	2007	714	64.5 x 43 x 9
9	Castle / Fantasy Era	7093-1	Skeleton Tower	2007	289	47.7 x 38 x 7
9	Castle / Fantasy Era	7092-1	Skeletons' Prison Carriage	2007	121	38 x 19 x 5.7
9	Castle / Fantasy Era	7091-1	Knights' Catapult Defense	2007	52	23.8 x 14.4 x 4.7
9	Castle / Fantasy Era	7090-1	Crossbow Attack	2007	30	14.2 x 14.2 x 4.7
9	Castle / Fantasy Era	7009-1	The Final Joust	2007	9	19 x 14.2 x 4.7
65	Star Wars / Star Wars Episode 1	7663-1	Sith Infiltrator	2007	172	38.4 x 28.6 x 5.7
34	Space / Mars Mission	7694-1	MT-31 Trike	2007	60	23.9 x 14 x 5.8
67	Town / City / Gas Station	7993-1	Service Station	2007	189	38 x 28.5 x 7
124	Train / RC Train	7997-1	Train Station	2007	248	38.2 x 28.6 x 9.4
34	Space / Mars Mission	7693-1	ETX Alien Strike	2007	148	28.5 x 28.5 x 5.7
34	Space / Mars Mission	7692-1	MX-71 Recon Dropship	2007	199	48.26 x 28.58 x 5.87
34	Space / Mars Mission	7690-1	MB-01 Eagle Command Base	2007	790	64.5 x 42.5 x 11.5
34	Space / Mars Mission	7691-1	ETX Alien Mothership Assault	2007	?	47.6 x 38.1 x 10.9
34	Space / Mars Mission	7695-1	MX-11 Astro Fighter	2007	28	14.2 x 14.2 x 4.7
34	Space / Mars Mission	7697-1	MT-51 Claw-Tank Ambush	2007	?	38 x 28.5 x 6.8
67	Town / City / Cargo	7992-1	Container Stacker	2007	121	23.8 x 28.5 x 5.7
