Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)	Dimensions
124	Train / 4.5V	114-2	Small Train Set	1966	?	? x ? x ?
63	Service Packs	1140-1	12V Light Bricks	1981	7	? x ? x ?
63	Service Packs / Train	1141-1	Wheel Bricks with Small Red Train Wheels	1981	20	? x ? x ?
63	Service Packs / Train	1142-1	Wheel Bricks with Small Black Train-Wheels	1981	14	9.7 x 15.3 x 2
63	Service Packs / Train	1143-1	Wheel Bricks with Large Red Train Wheels	1981	18	15 x 9.8 x 2.9
63	Service Packs / Train	1144-1	Train Baseplate	1981	28	9.7 x 25 x 0.8
63	Service Packs / Train	1145-1	Bogie Plate	1981	5	9.5 x 15 x 1.5
63	Service Packs / Train	1146-1	Pushrods, Cylinder Housings	1981	7	? x ? x ?
63	Service Packs / Train	1147-1	Light Prisms & Holder, Red/Yellow Light Covers	1981	6.67	15 x 9.8 x 0.9
124	Train / 4.5V	115-2	Starter Train Set with Motor	1966	?	? x ? x ?
124	Train / 4.5V	116-1	Starter Train Set with Motor	1967	1080	50 x 25 x 6.5
124	Train / 4.5V	117-1	Locomotive without Motor	1967	170	20 x 10 x 5
63	Service Packs / Train	1170-1	Replacement Train Battery Tender	1986	?	? x ? x ?
124	Train / 4.5V	118-1	Electronic Train	1968	293	? x ? x ?
67	Town / Space Port	1180-1	Space Port Moon Buggy	1999	31	? x ? x ?
67	Town / Space Port	1181-1	Space Port Spacecraft	1999	?	? x ? x ?
53	Adventurers / Desert	1182-1	Adventurers Raft	1999	27	7 x 7 x 4.3
53	Adventurers / Desert	1183-1	Mummy and Cart	1999	26	7 x 7 x 4.5
284	Ninja	1184-1	Cart	1999	32	7.1 x 7.1 x 4.7
284	Ninja	1185-1	Raft	1999	28	7 x 7 x 4.6
284	Ninja	1186-1	Cart	1999	29	7 x 7 x 4.6
284	Ninja	1187-1	Glider	1999	27.5	7 x 7 x 4.5
67	Town / Extreme Team	1188-1	Fire Formula	1999	?	? x ? x ?
67	Town / Extreme Team	1189-1	Rocket Boat	1999	?	? x ? x ?
124	Train / 4.5V	119-1	Super Train Set	1968	2000	62 x 30 x 6
67	Town / Extreme Team	1190-1	Retro Buggy	1999	?	? x ? x ?
67	Town / Extreme Team	1191-1	Try Bird	1999	?	? x ? x ?
67	Town	1196-1	Biker with Bicycle	2000	18	7 x 7 x 4.5
67	Town	1197-1	Telekom Race Cyclist and Television Motorbike	2000	58	14.3 x 9.5 x 4.7
67	Town	1198-1	Service Team - 2 Bikers with Service Tools	2000	156	23.9 x 14.3 x 4.7
67	Town	1199-1	Winning Team	2000	228	28.5 x 19 x 4.5
124	Train / 4.5V	120-1	Complete Freight Train Set with Tipper Trucks	1969	?	? x ? x ?
153	Fabuland	121-1	Roadster	1979	86.4	? x ? x ?
124	Train / 4.5V	122-1	Loco and Tender	1969	?	25 x 20 x 5
124	Train / 4.5V	123-1	Passenger Coach	1969	168	15 x 10 x 5
124	Train / 4.5V	124-1	Goods Wagon	1969	143	15 x 10 x 5
67	Town / Classic Town / Police	1246-1	Helicopter	1999	46	9.5 x 9.5 x 3.7
67	Town / Classic Town / Police	1247-1	Patrol Car	1999	46.39	9.5 x 9.5 x 3.7
67	Town / Classic Town / Fire	1248-1	Fire Boat	1999	42.5	9.5 x 9.5 x 3.8
67	Town / Classic Town / Hospital	1249-1	Tri-motorbike	1999	43	9.5 x 9.5 x 3.8
124	Train / 4.5V	125-1	Tipping Wagon	1969	89.5	10 x 10 x 5
67	Town / Classic Town / Race	1250-1	Dragster	1999	43.7	9.5 x 9.5 x 3.7
67	Town / Classic Town / Race	1251-1	Go-Cart	1999	41.7	9.5 x 9.5 x 3.7
67	Town / Town Jr. / Gas Station	1252-1	Shell Tanker	1999	155	19.2 x 9.5 x 5.8
67	Town / Town Jr. / Gas Station	1253-1	Shell Car Transporter	1999	144	19 x 9.3 x 5.8
67	Town / Town Jr. / Gas Station	1254-1	Shell Select Shop	1999	342	28.5 x 19 x 4.5
67	Town / Town Jr. / Gas Station	1255-1	Shell Car Wash	1999	330	28.5 x 19 x 4.5
67	Town / Town Jr. / Gas Station	1256-1	Shell Petrol Pump	1999	421	34 x 24 x 6
36	Technic / Model / Riding Cycle	1257-1	Tricycle	1999	?	? x ? x ?
36	Technic / Model / Off-Road	1258-1	Buggy	1999	?	? x ? x ?
36	Technic / Model / Riding Cycle	1259-1	Motorbike	1999	32	9.5 x 7 x 4.7
124	Train / 4.5V	126-1	Steam Locomotive (Push)	1970	110	? x ? x ?
36	Technic / Model / Race	1260-1	Car	1999	?	? x ? x ?
67	Town / Space Port	1265-1	Moon Buggy	1999	38	? x ? x ?
36	Technic / Model / Riding Cycle	1268-1	Bike Blaster	1999	36.9	9.4 x 9.2 x 3.7
284	Ninja	1269-1	White Ninja	1999	39	9.5 x 9.5 x 3.5
124	Train / 4.5V	127-1	Train Set	1969	?	? x ? x ?
53	Adventurers / Jungle	1271-1	Jungle Surprise	1999	51	? x ? x ?
67	Town / Race	1272-1	Turbo Racer	2000	?	9.5 x 9.5 x 3.7
67	Town / Race	1273-1	Rough Rider	2000	?	9.5 x 9.5 x 3.7
62	Rock Raiders	1274-1	Light Hover	2000	50.4	9.9 x 13.4 x 3.5
62	Rock Raiders	1275-1	Chain Dozer	2000	?	? x ? x ?
62	Rock Raiders	1276-1	Helicopter Transport	2000	?	? x ? x ?
